dbSNP rs#	Chr	Build 37 nt position	73-population Fst
rs3737576	1	101,709,563	0.44
rs7554936	1	151,122,489	0.39
rs2814778	1	159,174,683	0.82
rs798443	2	7,968,275	0.34
rs1876482	2	17,362,568	0.75
rs1834619	2	17,901,485	0.5
rs3827760	2	109,513,601	0.71
rs260690	2	109,579,738	0.49
rs6754311	2	136,707,982	0.41
rs10497191	2	158,667,217	0.54
rs12498138	3	121,459,589	0.48
rs4833103	4	38,815,502	0.37
rs1229984	4	100,239,319	0.43
rs3811801	4	100,244,319	0.45
rs7657799	4	105,375,423	0.44
rs16891982	5	33,951,693	0.69
rs7722456	5	170,202,984	0.2
rs870347	5	6,845,035	0.35
rs3823159	6	136,482,727	0.5
rs192655	6	90,518,278	0.21
rs917115	7	28,172,586	0.35
rs1462906	8	31,896,592	0.54
rs6990312	8	110,602,317	0.34
rs2196051	8	122,124,302	0.43
rs1871534	8	145,639,681	0.48
rs3814134	9	127,267,689	0.47
rs4918664	10	94,921,065	0.53
rs174570	11	61,597,212	0.51
rs1079597	11	113,296,286	0.16
rs2238151	12	112,211,833	0.36
rs671	12	112,241,766	0.22
rs7997709	13	34,847,737	0.37
rs1572018	13	41,715,282	0.41
rs2166624	13	42,579,985	0.3
rs7326934	13	49,070,512	0.54
rs9522149	13	111,827,167	0.44
rs200354	14	99,375,321	0.32
rs1800414	15	28,197,037	0.57
rs12913832	15	28,365,618	0.52
rs12439433	15	36,220,035	0.39
rs735480	15	45,152,371	0.39
rs1426654	15	48,426,484	0.73
rs459920	16	89,730,827	0.24
rs4411548	17	40,658,533	0.14
rs2593595	17	41,056,245	0.47
rs17642714	17	48,726,132	0.18
rs4471745	17	53,568,884	0.27
rs11652805	17	62,987,151	0.39
rs2042762	18	35,277,622	0.43
rs7226659	18	40,488,279	0.4
rs3916235	18	67,578,931	0.63
rs4891825	18	67,867,663	0.53
rs7251928	19	4,077,096	0.47
rs310644	20	62,159,504	0.58
rs2024566	22	41,697,338	0.31
