Chr	Location on NCBI Assembly
7	12635776
11	23967106
9	70849100
7	139093846
2	200730199
3	181447421
15	89906712
6	145097024
1	240409127
1	18043473
3	149233045
2	108946170
6	90574999
4	85528102
17	1348363
4	41249121
16	63964209
15	34007327
3	137397166
12	117373871
3	122005406
3	190057690
8	122977684
6	168408609
9	12662320
9	28618500
7	130392606
7	32145649
12	45963217
22	30696359
1	27804285
22	16456546
7	97533299
7	151504786
14	104750100
14	57308440
12	107801849
19	38344087
17	51143279
11	15794713
5	43747135
5	2417626
14	98445074
1	166426514
10	115306802
18	57484088
5	6898035
9	92681020
5	79121482
12	17299059
4	73464055
5	165672560
1	184415655
1	68622275
8	86611868
12	54450001
6	4692158
8	28997224
11	120149657
14	19887971
2	7885726
20	53434321
1	42132857
3	2183832
14	82542621
18	73185272
5	35072872
16	10882812
8	140310363
7	73092135
7	42346596
8	13403871
15	72521553
16	19180409
17	71293786
2	179314783
21	36807495
9	134922943
16	83741183
1	6472963
14	51677717
6	51719429
12	11592755
19	60306735
6	12643097
1	12530765
1	149389113
7	83370983
11	7806892
11	66655068
13	74891888
4	179636517
13	26522356
6	163141782
1	101482151
19	57593717
10	50511710
2	29391915
10	74971000
16	680467
18	66018643
2	37794900
18	9410504
18	17905980
18	48035542
5	177795689
3	79482265
6	22019595
14	66956534
4	105594872
22	46586536
4	5441538
2	145486413
3	39121433
9	119170027
1	210853506
13	33745737
20	10143433
17	67023694
8	4178201
13	110625168
17	60417613
2	14673800
5	155404292
10	134500093
2	79718431
1	55435960
3	30390616
